pdes,full_name,a,e,i,om,w,q,ad,per_y,condition_code,class,H,H_sigma,G,diameter,diameter_sigma,extent,albedo,rot_per,spec_B,spec_T,in_Tess,num_sectors,num_of_days,sector,num_cameras,camera,num_ccd,first_time,first_ccd,first_column,first_row,last_time,last_ccd,last_column,last_row,max_pix_per_hour,min_Vmag,mean_Vmag,max_Vmag,min_phase_angle,mean_phase_angle,max_phase_angle,min_sun_distance,mean_sun_distance,max_sun_distance,min_tess_distance,mean_tess_distance,max_tess_distance
3,     3 Juno (A804 RA),2.668285288255535,0.2569364335025426,12.99104333322611,169.851484129712,248.0661914022166,1.982705582723854,3.353864993787215,4.35869614951864,0,MBA,5.33,,0.32,246.596,10.594,,0.214,7.21,Sk,S,True,2,14,5,1,1,1,1438.5,1,534.8931214426159,1183.1355567202677,1451.5,1,64.32249550962582,1056.7104574850039,1.751792781760091,7.447,7.477285714285714,7.538,11.3189,11.879535714285714,13.0354,1.983404475329,1.9835695845297858,1.983949981642,1.03446797342997,1.0408118627650935,1.0531960238856
3,     3 Juno (A804 RA),2.668285288255535,0.2569364335025426,12.99104333322611,169.851484129712,248.0661914022166,1.982705582723854,3.353864993787215,4.35869614951864,0,MBA,5.33,,0.32,246.596,10.594,,0.214,7.21,Sk,S,True,2,24,23,1,1,2,1928.5,4,693.3958983476163,185.87203654335076,1954.5,3,1814.125164352308,423.21166098404683,1.8861308499117682,9.544,9.619166666666667,9.739,2.5352,3.9531083333333332,5.9178,3.028312877721,3.052795226637166,3.079112513528,2.05642653589417,2.0696613458454594,2.10423165383996
6,     6 Hebe (A847 NA),2.424532678648135,0.2032188267175665,14.73965324099398,138.643431718922,239.73627352,1.931821992354862,2.917243364941408,3.77528954485644,0,MBA,5.8,,0.24,185.18,2.9,,0.2679,7.2745,S,S,True,2,17,6,1,1,2,1468.5,2,1040.216055100306,1906.2342044607306,1489.5,3,2039.6164687832393,1889.1280850886674,2.190407271760995,8.536,8.57235294117647,8.637,7.8225,8.842505882352942,10.7259,2.194219766637,2.216477414568882,2.240870588879,1.25507957067508,1.2660583109013164,1.29187149206439
6,     6 Hebe (A847 NA),2.424532678648135,0.2032188267175665,14.73965324099398,138.643431718922,239.73627352,1.931821992354862,2.917243364941408,3.77528954485644,0,MBA,5.8,,0.24,185.18,2.9,,0.2679,7.2745,S,S,True,2,16,23,1,1,2,1937.5,1,1507.9991303992201,2041.9972920890136,1954.5,2,47.71158744546559,1954.1481154222581,1.9318157469501067,10.007,10.023375,10.08,6.2696,6.599062500000001,7.6863,2.915508738214,2.9164128533489997,2.917145270668,1.95148474090372,1.9545254149076554,1.96559068939617
7,     7 Iris (A847 PA),2.387375341245345,0.2301450445340636,5.521598102778311,259.5639414861789,145.2015458287722,1.83793273701491,2.93681794547578,3.68883523882255,0,MBA,5.6,,,199.83,10.0,,0.2766,7.139,S,S,True,1,27,10,1,1,1,1569.5,4,204.39508227379736,333.46796792932247,1595.5,4,1315.6324293639188,252.50574331689074,1.9724344258174686,9.451,9.564629629629632,9.785,2.7065,4.304248148148148,7.4472,2.811141935564,2.828344459529481,2.844737643161,1.82754254816124,1.8436914003580862,1.88488592262297
22,    22 Kalliope (A852 WA),2.910347527862883,0.09804976380262544,13.70173629658164,66.00464581574091,357.2564752992111,2.624988640172373,3.195706415553394,4.96507118900541,0,MBA,6.5,,0.21,167.536,3.053,,0.166,4.1483,X,M,True,1,6,12,1,1,1,1647.5,3,282.82583763395337,7.477085833907992,1652.5,3,482.09807054724325,64.47944381746565,1.6742674935043131,10.901,10.908833333333334,10.921,1.9307,2.0434666666666668,2.2572,3.17390558277,3.174825836617,3.175737376005,2.16313743987565,2.164673000008775,2.16686054722321
23,    23 Thalia (A852 XA),2.625114956004941,0.2347517252651223,10.11400359847305,66.84479968136846,60.63247349055822,2.008864691063506,3.241365220946377,4.25334579108433,0,MBA,6.95,,,107.53,2.2,,0.2536,12.312,S,S,True,1,26,4,1,1,1,1411.5,4,181.1560497303474,602.8395933910584,1436.5,4,1251.5730495932794,317.6947696479213,2.030405954603666,10.192,10.27580769230769,10.406,3.45,5.103473076923077,8.4538,2.468037275141,2.5001122487859613,2.532151460881,1.51137071952842,1.523526053013776,1.55413377425405
25,    25 Phocaea (A853 GB),2.399561512585203,0.2548956117444365,21.60666665735258,214.1202790971407,90.30961922882815,1.787923812916393,3.011199212254014,3.71711530852909,0,MBA,7.8,,,61.054,2.463,,0.35,9.9341,S,S,True,1,22,6,1,1,1,1468.5,2,1565.3746825833125,259.4203059987706,1489.5,2,638.8657658139701,132.07707572239354,1.8528244027512735,12.284,12.300909090909089,12.34,9.4282,9.809877272727272,10.8466,2.907029337993,2.9201143319861362,2.932637631955,2.02265195459036,2.0273625212438167,2.04015468064383
35,    35 Leukothea (A855 HA),2.994191153927745,0.2253082016423154,7.932409837225888,353.7187614184029,213.4265343713588,2.319575329662956,3.668806978192534,5.18116575847326,0,MBA,8.6,,,103.055,1.201,,0.066,31.9,C,C,True,1,25,19,1,1,1,1816.5,4,1377.3046608087584,928.7620151442862,1840.5,4,503.95557953871355,961.9811137963464,1.595722998159345,13.282,13.365560000000002,13.548,3.4505,4.489432,6.7957,3.237953307122,3.2607982587891597,3.283315398141,2.27461579028424,2.2994465148216077,2.35238451137895
47,    47 Aglaja (A857 RA),2.882273729514804,0.1299470041094542,4.974553664525562,3.066451307541134,314.8373122333059,2.507730893340972,3.256816565688636,4.89340360216021,0,MBA,8.1,,0.16,168.174,1.222,,0.082,13.178,B,C,True,2,16,1,1,1,1,1325.5,3,1211.7973909816283,53.09261843008845,1340.5,3,1735.1130618098618,2.9197001766687514,1.8373569111887247,11.238,11.385562499999999,11.559,2.4503,4.759099999999999,7.7111,2.507283888205,2.5075343591685,2.507998068349,1.4964817573653,1.5085222000301823,1.52666731480679
47,    47 Aglaja (A857 RA),2.882273729514804,0.1299470041094542,4.974553664525562,3.066451307541134,314.8373122333059,2.507730893340972,3.256816565688636,4.89340360216021,0,MBA,8.1,,0.16,168.174,1.222,,0.082,13.178,B,C,True,2,10,19,1,1,1,1816.5,3,440.2723679850535,148.7158708305532,1825.5,3,59.52758222654552,162.84805403309662,1.6683007312900462,12.205,12.243300000000001,12.319,2.2643,2.7119299999999997,3.6409,2.965986878849,2.9715739582138,2.97714236408,1.98377844049891,1.9909149104428203,2.00318428002024
48,    48 Doris (A857 SA),3.109514977741711,0.07226357123645114,6.547933486070919,183.5526297742236,252.841494009943,2.884810320636861,3.334219634846561,5.48336533056644,0,MBA,7.1,,,216.473,4.757,,0.065,11.89,Ch,CG,True,1,25,8,1,1,1,1517.5,4,918.1702138079039,177.09714527765118,1541.5,4,1798.7855108214485,39.34002092469507,1.5885825594679697,11.251,11.376280000000001,11.6,2.2101,3.9757400000000005,7.3326,2.990616108928,2.9981998817787603,3.005880211542,2.01031463185802,2.027046854388198,2.06735614995969
55,    55 Pandora (A858 RB),2.760437589324065,0.1432464227653934,7.179404505458811,10.36964280062153,5.385958162912896,2.365014779386267,3.155860399261863,4.58643350297335,0,MBA,7.7,,,84.794,2.501,,0.204,4.804,X,M,True,1,22,19,1,1,2,1816.5,4,812.9418215025969,831.4150816023886,1840.5,3,2033.353416279589,900.920401542639,1.7404446656151182,11.09,11.152272727272727,11.258,4.2324,5.390136363636365,7.7089,2.528652616032,2.5430177912335905,2.560963105465,1.56793476315845,1.5753693820333587,1.60332591055867
56,    56 Melete (A857 RB),2.596709988837031,0.2383936922791129,8.080139008221133,192.9749896036798,104.9898127386793,1.977670706820117,3.215749270853945,4.18449810097421,0,MBA,8.5,,,121.333,0.947,,0.057,18.147,Xk,P,True,1,25,8,1,1,1,1517.5,3,422.85606404395173,397.8085531956199,1541.5,3,1396.0782514730602,320.9092187127546,1.8091982466917291,12.778,12.907679999999996,13.144,2.5237,4.203968000000001,7.4061,3.045819359915,3.0630160954150396,3.079630857827,2.06565912468245,2.0946979886528614,2.15219435319617
58,    58 Concordia (A860 FA),2.699484163490149,0.04259806785494159,5.065948150766325,161.1064811012335,31.12144744754759,2.584491353920455,2.814476973059842,4.43536513503628,0,MBA,9.0,,,106.517,0.741,,0.044,9.895,Ch,C,True,1,22,6,1,1,1,1468.5,3,312.1882461607601,203.8286118158497,1489.5,3,1176.4383617436015,170.6316290748731,1.7555004141739878,12.606,12.721000000000002,12.929,2.5159,4.179618181818182,7.4202,2.697376837759,2.702084452010636,2.706785314545,1.7183686915695,1.7315971087768895,1.76165846271612
61,    61 Danae (A860 RC),2.984005927650858,0.1650231293124348,18.20999391242619,333.5718645816929,12.47045295943511,2.491575931583058,3.476435923718657,5.15475139151823,0,MBA,7.5,,,85.937,2.151,,0.203,11.45,S,S,True,1,28,12,1,1,1,1625.5,1,996.7684218105246,521.6531693639885,1652.5,1,69.70016527506476,559.0994495076774,1.6122024625505929,12.049,12.081750000000001,12.161,8.7799,9.685660714285715,11.6582,2.962632306825,2.9849780521891787,3.007220189145,2.05413627839512,2.0637963865693107,2.08065572578311
70,    70 Panopaea (A861 JA),2.616382047243307,0.1805059628337619,11.59282235059269,47.68987643741382,255.4790587098686,2.144109486664685,3.088654607821929,4.23213919292895,0,MBA,8.1,,0.14,127.911,0.745,,0.038,15.8052,Ch,C,True,2,24,1,1,1,2,1325.5,2,819.2259221416557,1555.2118034456357,1352.5,1,2086.9649786743507,1566.4196294892447,1.9263572341259518,10.778,10.817250000000001,10.908,9.9495,10.706245833333334,12.6696,2.148157988762,2.152935018323708,2.160846771586,1.17807525716354,1.1850883136201882,1.200691984573
70,    70 Panopaea (A861 JA),2.616382047243307,0.1805059628337619,11.59282235059269,47.68987643741382,255.4790587098686,2.144109486664685,3.088654607821929,4.23213919292895,0,MBA,8.1,,0.14,127.911,0.745,,0.038,15.8052,Ch,C,True,2,25,19,1,1,1,1816.5,4,1210.1113866486567,559.6974697330008,1840.5,4,208.97194553054376,760.6508493262257,1.8306151019592016,12.222,12.292080000000004,12.422,3.3269,4.527372000000001,7.0874,2.911892642925,2.9275775099198005,2.942832533598,1.95315818984759,1.960614492016381,1.98085934633401
81,    81 Terpsichore (A864 SA),2.853711594746076,0.2108473500459581,7.80314034698674,0.9479424692936758,51.63427775335209,2.252014067198441,3.455409122293711,4.82084670627146,0,MBA,8.6,,,117.727,0.734,,0.045,10.943,Cb,C,True,2,19,1,1,1,1,1334.5,3,44.760999992629095,329.174198523293,1352.5,3,734.2698465774185,235.99147821883628,1.7755138482503585,12.205,12.312631578947368,12.511,2.7059,4.010242105263158,6.5505,2.699831262466,2.7195653083321574,2.739304497648,1.69582131750477,1.7201370301384344,1.75821446325906
81,    81 Terpsichore (A864 SA),2.853711594746076,0.2108473500459581,7.80314034698674,0.9479424692936758,51.63427775335209,2.252014067198441,3.455409122293711,4.82084670627146,0,MBA,8.6,,,117.727,0.734,,0.045,10.943,Cb,C,True,2,27,20,1,1,1,1842.5,4,1893.1171407125642,1115.4121926362081,1868.5,4,882.5444993331606,1046.7992488981236,1.7372690392268924,11.842,11.927222222222222,12.103,4.8152,6.7205148148148135,10.6786,2.430409691848,2.454350048762852,2.478882586129,1.49010903926659,1.4973899420921024,1.51365137395717
83,    83 Beatrix (A865 HA),2.431964225188723,0.08129868898076806,4.963774679103388,27.72641328163354,168.5949563021062,2.234248722032751,2.629679728344696,3.79266055929026,0,MBA,8.8,,,110.503,0.829,,0.05,10.16,X,X,True,1,26,21,1,1,1,1871.5,3,1665.8139005459263,438.8095018568293,1896.5,3,570.6819860463006,382.8356621523248,1.9370654602026784,11.65,11.758615384615386,11.964,3.5639,5.507788461538461,9.5454,2.325399793204,2.3354914689055,2.345770932723,1.35723189688744,1.3649311781744218,1.38202158239081
85,    85 Io (A865 SA),2.652997727197547,0.194709334323011,11.95939852489645,203.1041676239805,122.9016251554906,2.136434305774451,3.169561148620643,4.32129106007207,0,MBA,7.7,,,154.79,3.8,,0.0666,6.875,B,FC,True,1,25,9,1,1,1,1543.5,4,564.0554512974943,836.5103910687858,1567.5,4,1522.1924949661445,655.4658045371488,1.7872947768226062,12.142,12.213720000000002,12.357,3.2668,4.453132,7.0543,3.1075797293,3.1168931614264,3.125697820396,2.13579385783684,2.1445406942344065,2.16169468887103
86,    86 Semele (A866 AA),3.107374383285734,0.2151374597539971,4.820528131678785,86.09722831414874,308.9030578440489,2.438861751960998,3.775887014610471,5.47770417059941,0,MBA,8.7,,,109.929,0.609,,0.056,16.634,,C,True,1,1,1,1,1,1,1352.5,4,231.98902945402648,2.090552698022176,1352.5,4,231.98902945402648,2.090552698022176,1.4386031528318948,12.696,12.696,12.696,5.4763,5.4763,5.4763,2.811994484533,2.811994484533,2.811994484533,1.82429424304201,1.82429424304201,1.82429424304201
87,    87 Sylvia (A866 KA),3.482070735734205,0.0934036151672882,10.87598597873656,73.0406379856919,263.5897277669318,3.156832740748411,3.807308730719998,6.4977737624249,0,OMB,6.8,,,253.051,2.953,,0.046,5.184,X,P,True,1,12,20,1,1,1,1857.5,4,2059.73313627321,736.9732549818723,1868.5,4,1671.6754505687984,785.2574604721489,1.3981553798147524,12.131,12.151416666666668,12.197,2.7093,3.016525,3.7184,3.714038713207,3.7171147251744165,3.720162828006,2.74373039966991,2.746325596536686,2.7519025319072
93,    93 Minerva (A867 QA),2.756376883700474,0.1390662322416344,8.556424221457043,4.030976073456722,274.9405839566488,2.373057935846311,3.139695831554637,4.57631700613377,0,MBA,7.9,,,154.155,1.298,,0.056,5.982,C,CU,True,1,3,19,1,1,1,1838.5,4,2064.386204679572,1183.927107028167,1840.5,4,1982.175114100585,1178.9810199757944,1.626906116009555,12.418,12.418666666666667,12.42,3.8839,3.9098,3.9468,3.133583065643,3.1338056372743335,3.134026830423,2.16466298918451,2.1652117358938434,2.16590579771097
94,    94 Aurora (A867 RA),3.157818067599943,0.09427348808102752,7.969381168112063,2.565352380464117,60.34317343018009,2.860119543642007,3.455516591557879,5.61162782686381,0,MBA,7.6,,,204.89,3.6,,0.0395,7.22,C,CP,True,2,25,1,1,1,2,1325.5,3,1702.95794317398,500.3374095684357,1352.5,4,419.5655220278715,387.0713811740698,1.4750665399145593,12.155,12.235439999999999,12.355,2.7289,3.9248320000000003,5.5228,3.208022795651,3.2198538872696405,3.231491262092,2.21276413107869,2.225056336203639,2.24926052805102
94,    94 Aurora (A867 RA),3.157818067599943,0.09427348808102752,7.969381168112063,2.565352380464117,60.34317343018009,2.860119543642007,3.455516591557879,5.61162782686381,0,MBA,7.6,,,204.89,3.6,,0.0395,7.22,C,CP,True,2,8,18,1,1,1,1791.5,3,324.10931051886104,323.3419751340125,1798.5,3,48.597359162645944,368.64593065217764,1.6359407381958826,11.56,11.588125000000002,11.638,2.664,3.085375,3.8193,2.874554597334,2.875660067435,2.876787648469,1.88900045237084,1.8912453089070425,1.89587240901707
